날짜,지점,강수량(mm)
2018-12-10,129,
2018-12-11,129,
2018-12-12,129,
2018-12-13,129,0.2
2018-12-14,129,
2018-12-15,129,
2018-12-16,129,1.5
2018-12-17,129,0.2
2018-12-18,129,0.0
2018-12-19,129,
2018-12-20,129,
2018-12-21,129,
2018-12-22,129,
2018-12-23,129,
2018-12-24,129,
2018-12-25,129,0.0
2018-12-26,129,0.0
2018-12-27,129,0.0
2018-12-28,129,0.5
2018-12-29,129,0.0
2018-12-30,129,
2018-12-31,129,
2019-01-01,129,0.5
2019-01-02,129,
2019-01-03,129,
2019-01-04,129,
2019-01-05,129,
2019-01-06,129,
2019-01-07,129,
2019-01-08,129,
2019-01-09,129,
2019-01-10,129,0.3
2019-01-11,129,
2019-01-12,129,
2019-01-13,129,
2019-01-14,129,
2019-01-15,129,0.1
2019-01-16,129,
2019-01-17,129,0.0
2019-01-18,129,
2019-01-19,129,
2019-01-20,129,0.2
2019-01-21,129,
2019-01-22,129,
2019-01-23,129,
2019-01-24,129,
2019-01-25,129,
2019-01-26,129,
2019-01-27,129,
2019-01-28,129,0.0
2019-01-29,129,
2019-01-30,129,
2019-01-31,129,
2019-02-01,129,0.1
2019-02-02,129,0.3
2019-02-03,129,15.6
2019-02-04,129,
2019-02-05,129,
2019-02-06,129,
2019-02-07,129,
2019-02-08,129,
2019-02-09,129,
2019-02-10,129,
2019-02-11,129,0.0
2019-02-12,129,0.2
2019-02-13,129,
2019-02-14,129,
2019-02-15,129,2.1
2019-02-16,129,0.6
2019-02-17,129,
2019-02-18,129,
2019-02-19,129,11.3
2019-02-20,129,
2019-02-21,129,
2019-02-22,129,
2019-02-23,129,
2019-02-24,129,
2019-02-25,129,
2019-02-26,129,
2019-02-27,129,
2019-02-28,129,
2019-03-01,129,
2019-03-02,129,
2019-03-03,129,
2019-03-04,129,
2019-03-05,129,
2019-03-06,129,
2019-03-07,129,
2019-03-08,129,
2019-03-09,129,
2019-03-10,129,
2019-03-11,129,1.7
2019-03-12,129,0.0
2019-03-13,129,
2019-03-14,129,
2019-03-15,129,0.2
2019-03-16,129,
2019-03-17,129,
2019-03-18,129,
