11	11	15	9	10	10	14	14	11	14	13	8	8	6	8	7	8	9	9	10	12	14	13	13
14	14	12	17	17	20	20	22	19	24	23	17	16	17	17	15	14	14	12	11	14	10	11	11
18	12	12	9	10	7	6	11	8	8	8	7	7	7	6	10	16	11	13	13	17	14	20	18
19	14	18	17	27	18	17	20	17	19	22	19	14	14	16	14	20	18	28	26	25	28	31	27
29	31	31	31	31	34	30	32	35	35	32	38	33	22	16	20	18	19	21	15	17	9	8	9
11	10	12	10	9	7	6	8	9	11	10	8	7	5	4	9	8	9	9	14	15	13	15	19
13	17	22	19	17	11	9	8	14	11	7	6	5	2	2	2	3	4	8	7	6	5	4	4
4	2	4	5	4	4	8	9	8	8	12	7	6	6	7	8	12	9	13	12	8	8	6	5
4	4	4	4	5	5	7	7	9	10	24	23	11	7	9	9	7	7	10	13	13	11	8	7
7	6	7	12	9	8	11	11	11	9	12	9	7	7	6	5	10	9	8	11	13	14	14	13
17	15	15	15	10	12	14	12	16	20	18	18	19	18	26	25	21	14	18	14	20	20	23	24
18	14	15	17	14	20	17	11	17	17	15	13	12	12	9	9	11	10	17	21	31	29	31	32
39	34	39	33	34	32	34	38	33	42	47	39	37	33	39	-	-	-	27	30	30	28	20	22
26	25	27	33	37	30	37	36	38	53	43	38	22	14	17	18	-	22	19	24	35	32	35	46
28	44	36	32	54	32	30	33	42	35	55	25	13	17	16	10	12	7	12	11	19	5	9	11
10	16	51	73	73	63	33	33	46	42	45	43	41	43	39	31	25	23	27	22	20	22	17	17
12	12	9	8	7	9	7	4	6	4	5	4	2	2	2	2	1	2	7	8	16	13	8	9
10	8	18	11	9	14	12	16	17	23	28	29	34	33	34	38	34	34	36	32	30	27	17	16
10	12	7	4	6	8	10	11	9	11	10	10	8	5	5	6	13	12	11	12	16	16	18	16
15	16	17	18	16	14	12	16	20	23	26	27	19	17	7	10	7	8	10	12	21	17	21	28
21	26	31	31	34	43	34	32	34	41	43	34	67	-	15	16	22	34	41	43	34	32	30	34
32	40	33	34	35	30	36	36	38	43	41	40	42	38	33	34	40	48	34	25	21	15	10	9
8	13	8	14	10	7	7	9	6	8	12	10	12	9	14	10	10	15	14	13	9	7	15	12
11	16	14	12	14	14	9	8	10	12	11	13	11	7	6	5	7	9	9	7	5	9	9	7
9	12	11	8	8	8	7	7	12	14	9	7	6	5	5	3	1	1	3	6	7	9	12	7
6	5	10	8	5	9	12	11	10	11	11	13	13	10	10	8	9	6	3	10	13	11	10	12
16	17	17	16	23	17	21	16	18	20	23	22	17	18	17	15	13	12	10	11	11	11	12	15
13	13	17	12	13	15	14	17	18	27	22	26	17	13	17	20	22	15	17	16	13	12	10	7
6	6	6	-	5	3	4	3	10	9	6	7	7	5	8	8	10	8	6	9	11	11	9	12
12	12	9	9	13	8	10	11	22	19	34	28	34	26	27	29	27	29	25	27	29	33	39	41
34	35	34	24	21	22	20	21	19	23	20	17	11	8	6	4	5	5	11	16	19	18	19	17
